line_name,trial,season,Fruit_weight,Fruit_set
SL94,2014_Spr_Mie,Spr,137.8,-3.016934481
SL95,2014_Spr_Mie,Spr,198,-2.882403588
SL96,2014_Spr_Mie,Spr,189.5714286,-2.590738752
SL101,2014_Spr_Mie,Spr,139.5,-3.135494216
SL102,2014_Spr_Mie,Spr,206.75,-3.094532858
SL103,2014_Spr_Mie,Spr,170.2222222,-2.718254371
SL1,2012_Spr_Mie,Spr,206,-2.78147767
SL2,2012_Spr_Mie,Spr,248,-3.055048851
SL3,2012_Spr_Mie,Spr,199,-2.843851742
SL4,2012_Spr_Mie,Spr,251,-2.90989323
SL5,2012_Spr_Mie,Spr,251,-2.718254371
SL6,2012_Spr_Mie,Spr,224,-2.799350063
SL7,2012_Spr_Mie,Spr,289,-3.016934481
SL8,2012_Spr_Mie,Spr,190,-2.751535313
SL9,2012_Spr_Mie,Spr,281,-2.719333819
SL10,2012_Spr_Mie,Spr,226,-2.876385516
SL11,2012_Spr_Mie,Spr,339,-2.685192063
SL12,2012_Spr_Mie,Spr,235,-2.948259423
SL13,2012_Spr_Mie,Spr,254,-2.875863731
SL14,2012_Spr_Mie,Spr,223,-2.876385516
SL15,2012_Spr_Mie,Spr,227,-2.98009338
SL16,2012_Spr_Mie,Spr,230,-2.838982591
SL17,2012_Spr_Mie,Spr,298,-2.948259423
SL18,2012_Spr_Mie,Spr,204,-2.910632943
SL19,2012_Spr_Mie,Spr,278,-2.799350063
SL20,2012_Spr_Mie,Spr,294,-2.948259423
SL21,2012_Spr_Mie,Spr,245,-3.055048851
SL22,2012_Spr_Mie,Spr,302,-3.205767023
SL23,2012_Spr_Mie,Spr,228,-2.838982591
SL24,2012_Spr_Mie,Spr,190,-2.677972746
SL25,2012_Spr_Mie,Spr,339,-2.90989323
SL26,2012_Spr_Mie,Spr,388,-3.016934481
SL27,2012_Spr_Mie,Spr,205,-2.799350063
SL28,2012_Spr_Mie,Spr,326,-2.882403588
SL29,2012_Spr_Mie,Spr,285,-2.843851742
SL30,2012_Spr_Mie,Spr,278,-2.944438979
SL31,2012_Spr_Mie,Spr,283,-3.055048851
SL32,2012_Spr_Mie,Spr,242,-2.533696814
SL33,2012_Spr_Mie,Spr,269,-2.804802342
SL34,2012_Spr_Mie,Spr,225,-2.800220661
SL35,2012_Spr_Mie,Spr,264,-2.685192063
SL36,2012_Spr_Mie,Spr,335,-3.135494216
SL37,2012_Spr_Mie,Spr,340,-3.113042384
SL38,2012_Spr_Mie,Spr,266,-3.205767023
SL39,2012_Spr_Mie,Spr,289,-2.875863731
SL40,2012_Spr_Mie,Spr,201,-2.910632943
SL41,2012_Spr_Mie,Spr,273,-2.910632943
SL42,2012_Spr_Mie,Spr,254,-2.944438979
SL43,2012_Spr_Mie,Spr,214,-2.90989323
SL44,2012_Spr_Mie,Spr,286,-2.719333819
SL45,2012_Spr_Mie,Spr,224,-2.739394589
SL46,2012_Spr_Mie,Spr,280,-2.90989323
SL47,2012_Spr_Mie,Spr,238,-2.875863731
SL48,2012_Spr_Mie,Spr,181,-2.771626721
SL49,2012_Spr_Mie,Spr,226,-2.771626721
SL50,2012_Spr_Mie,Spr,274,-2.944438979
SL51,2012_Spr_Mie,Spr,262,-2.721987709
SL52,2012_Spr_Mie,Spr,279,-2.397895273
SL53,2012_Spr_Mie,Spr,207,-2.812233554
SL54,2012_Spr_Mie,Spr,211,-2.87423472
SL55,2012_Spr_Mie,Spr,246,-2.812233554
SL56,2012_Spr_Mie,Spr,254,-2.512305624
SL57,2012_Spr_Mie,Spr,216,-2.944438979
SL58,2012_Spr_Mie,Spr,207,-2.751535313
SL59,2012_Spr_Mie,Spr,289,-2.848442065
SL60,2012_Spr_Mie,Spr,173,-2.778819272
SL61,2012_Spr_Mie,Spr,392,-2.90989323
SL62,2012_Spr_Mie,Spr,269,-2.944438979
SL63,2012_Spr_Mie,Spr,263,-2.812233554
SL64,2012_Spr_Mie,Spr,180,-2.840109923
SL65,2012_Spr_Mie,Spr,296,-2.838982591
SL66,2012_Spr_Mie,Spr,261,-2.848442065
SL67,2012_Spr_Mie,Spr,265,-2.540025949
SL68,2012_Spr_Mie,Spr,230,-3.027572879
SL69,2012_Spr_Mie,Spr,258,-2.78147767
SL70,2012_Spr_Mie,Spr,168,-2.397895273
SL71,2012_Spr_Mie,Spr,250,-2.721987709
SL72,2012_Spr_Mie,Spr,244,-2.915689566
SL73,2012_Spr_Mie,Spr,285,-2.840109923
SL74,2012_Spr_Mie,Spr,226,-2.739394589
SL75,2012_Spr_Mie,Spr,236,-2.98009338
SL76,2012_Spr_Mie,Spr,233,-2.98009338
SL77,2012_Spr_Mie,Spr,294,-2.582680318
SL78,2012_Spr_Mie,Spr,222,-2.87423472
SL79,2012_Spr_Mie,Spr,244,-2.76000994
SL80,2012_Spr_Mie,Spr,196,-2.840109923
SL81,2012_Spr_Mie,Spr,229,-2.751535313
SL82,2012_Spr_Mie,Spr,326,-3.094532858
SL83,2012_Spr_Mie,Spr,307,-2.90989323
SL84,2012_Spr_Mie,Spr,254,-2.803360381
SL85,2012_Spr_Mie,Spr,275,-2.876385516
SL86,2012_Spr_Mie,Spr,273,-2.837406222
SL87,2012_Spr_Mie,Spr,269,-2.76000994
SL88,2012_Spr_Mie,Spr,238,-2.876385516
SL89,2012_Spr_Mie,Spr,247,-2.944438979
SL90,2012_Spr_Mie,Spr,220,-2.98009338
SL91,2012_Spr_Mie,Spr,249,-2.837406222
SL92,2012_Spr_Mie,Spr,195,-2.90989323
SL93,2012_Spr_Mie,Spr,243,-2.533696814
SL94,2012_Spr_Mie,Spr,218,-2.90989323
SL95,2012_Spr_Mie,Spr,206,-2.812233554
SL96,2012_Spr_Mie,Spr,281,-2.799350063
SL1,2011_Win_Mie,Win,198,-2.695471419
SL2,2011_Win_Mie,Win,236,-2.708050201
SL3,2011_Win_Mie,Win,200,-2.512305624
